acc_x[mg],acc_y[mg],acc_z[mg]
529.85,-278.40,825.94
531.07,-279.62,827.77
530.70,-279.99,827.28
527.65,-277.06,827.53
527.41,-275.96,826.06
524.72,-275.84,823.74
524.60,-276.21,818.25
527.28,-271.94,819.84
530.58,-272.18,821.18
530.94,-276.09,815.20
533.87,-275.48,817.16
534.60,-273.28,821.55
532.65,-275.60,818.62
531.07,-278.53,816.18
530.70,-278.53,817.03
530.33,-277.92,819.35
530.33,-275.35,822.40
532.53,-273.04,826.43
531.68,-273.16,826.67
531.07,-275.48,821.55
531.43,-276.57,820.57
533.51,-276.82,820.82
532.65,-277.31,819.96
530.70,-278.40,818.62
530.46,-276.45,819.60
529.48,-275.23,821.79
527.04,-271.33,822.28
526.80,-272.06,824.60
524.72,-274.62,821.55
524.97,-271.94,823.38
528.87,-273.89,822.89
526.43,-269.99,823.74
526.19,-271.57,823.13
528.02,-276.57,820.45
528.87,-279.38,822.16
529.72,-277.67,823.38
530.94,-279.87,824.23
534.48,-283.53,823.87
533.51,-281.58,826.18
531.80,-279.01,827.04
531.31,-277.92,823.50
529.60,-277.67,821.18
530.46,-278.89,817.52
529.11,-273.89,818.74
533.99,-273.52,816.42
534.12,-277.55,814.96
534.36,-276.21,817.89
533.02,-274.62,818.25
529.36,-274.38,817.52
528.50,-276.82,818.50
525.21,-275.72,819.84
526.19,-275.23,823.13
528.99,-275.84,827.89
530.09,-276.57,829.36
529.72,-277.18,826.67
532.53,-277.92,826.18
533.99,-277.55,825.21
532.65,-276.21,823.87
533.14,-275.84,821.79
531.07,-275.96,818.01
528.99,-276.57,814.47
528.87,-274.99,819.11
529.48,-274.01,820.08
530.09,-271.21,821.18
530.33,-274.01,820.57
527.77,-273.16,819.72
529.72,-275.48,818.74
530.33,-273.65,820.08
530.94,-271.69,821.67
531.68,-276.70,817.77
532.04,-280.97,818.86
531.43,-282.55,820.08
533.02,-281.58,819.35
536.80,-286.94,818.74
535.82,-285.48,822.89
534.48,-284.38,822.65
531.31,-274.38,824.48
529.24,-270.84,826.43
522.77,-272.79,826.18
521.06,-266.81,827.28
524.60,-270.35,823.13
527.77,-279.75,815.45
533.02,-280.48,816.18
538.63,-280.72,818.13
537.65,-280.84,815.57
529.48,-281.70,812.15
525.82,-279.38,813.62
528.14,-278.28,820.82
529.97,-278.04,821.43
538.14,-283.16,820.21
557.17,-294.14,830.09
552.05,-300.24,835.33
544.61,-287.07,831.67
550.95,-285.85,836.55
538.51,-281.21,832.65
520.09,-268.03,817.16
510.81,-265.84,808.49
509.11,-264.86,800.69
521.18,-270.23,795.20
540.46,-276.33,803.00
553.76,-282.31,805.57
551.81,-284.75,807.15
548.63,-282.19,807.27
545.22,-279.75,809.35
535.46,-274.62,809.10
531.19,-269.74,810.57
533.14,-274.50,810.08
536.56,-281.70,809.84
539.00,-284.26,810.81
541.92,-284.26,812.89
545.10,-286.82,819.23
546.56,-286.58,822.16
543.51,-282.67,821.30
547.29,-287.43,816.30
548.27,-292.19,810.69
549.98,-294.26,802.64
548.27,-283.41,809.96
539.85,-276.33,819.96
531.31,-276.82,815.08
529.48,-272.43,817.89
525.45,-269.86,817.03
528.75,-274.13,814.23
536.07,-279.38,811.54
539.48,-282.67,810.81
546.68,-284.02,812.52
548.63,-284.99,816.42
544.61,-284.02,817.28
541.68,-284.14,813.74
538.14,-281.58,813.98
536.31,-281.33,812.03
535.95,-280.36,811.18
539.61,-281.33,812.52
539.24,-283.77,812.89
538.14,-283.16,812.64
539.85,-282.55,817.16
539.36,-281.94,820.82
539.12,-278.77,818.99
537.29,-280.36,817.03
534.48,-278.53,819.35
534.60,-279.99,817.03
532.77,-277.43,815.20
533.38,-275.84,818.13
535.58,-280.11,816.30
537.41,-286.33,815.33
537.53,-284.63,818.86
538.39,-280.36,820.45
538.26,-283.04,819.60
533.51,-282.43,817.40
534.24,-279.75,817.64
536.19,-280.36,815.57
533.51,-280.72,811.06
533.75,-280.84,808.74
537.65,-276.82,812.52
541.68,-276.09,814.59
543.51,-278.77,813.13
552.05,-280.23,818.86
552.17,-289.38,818.99
535.21,-283.28,811.54
531.43,-276.57,813.74
528.02,-273.52,816.91
520.33,-271.21,811.30
522.16,-270.23,810.32
533.99,-272.55,818.50
541.07,-278.04,820.69
543.02,-281.33,817.28
545.95,-283.04,820.21
546.80,-282.19,823.38
542.29,-281.21,818.74
537.53,-278.65,816.91
535.21,-279.26,813.37
533.87,-279.50,808.62
532.41,-276.45,810.93
535.58,-274.26,814.47
538.87,-277.67,814.47
536.07,-278.16,812.52
538.39,-276.57,814.72
538.63,-276.45,814.84
536.92,-276.45,813.13
534.36,-277.55,812.64
537.90,-284.75,813.86
538.26,-286.21,816.42
539.85,-282.67,821.55
543.02,-284.87,823.38
539.97,-286.94,820.94
535.70,-282.31,821.06
534.60,-279.26,820.45
533.63,-280.11,815.33
531.43,-282.31,808.62
533.26,-280.23,812.40
539.97,-275.96,817.89
538.63,-279.14,813.74
539.48,-282.19,812.64
539.24,-279.01,816.18
536.92,-277.06,816.79
532.65,-280.36,814.11
528.99,-279.62,812.15
530.70,-278.53,816.42
535.09,-280.23,817.64
536.92,-277.18,819.84
541.80,-277.92,825.45
543.27,-284.38,822.28
541.68,-282.55,817.52
541.19,-283.04,816.30
537.53,-281.45,815.81
535.34,-277.43,817.40
534.60,-276.57,816.55
530.46,-277.67,815.57
529.85,-278.53,814.84
530.70,-276.21,817.03
533.75,-274.38,819.23
537.65,-277.18,818.01
536.19,-280.11,813.50
536.92,-278.16,814.59
537.90,-277.92,814.23
536.92,-273.65,816.91
534.48,-275.60,816.55
534.24,-279.50,814.96
534.12,-279.99,817.77
533.02,-276.33,818.25
536.68,-278.89,818.62
539.48,-282.92,818.74
537.65,-282.80,819.35
530.70,-279.26,817.89
532.29,-276.21,815.69
537.41,-280.11,813.86
537.65,-284.50,810.69
540.34,-279.62,816.67
543.63,-281.94,820.57
537.65,-283.41,816.55
532.16,-277.43,818.50
529.85,-274.62,820.08
531.07,-275.84,818.13
529.97,-280.23,813.62
529.36,-280.48,813.74
534.97,-279.38,820.69
537.53,-280.36,822.65
531.80,-280.60,818.62
531.19,-283.89,817.64
530.09,-279.87,818.25
533.99,-276.70,815.81
537.78,-279.87,818.38
542.29,-285.72,815.57
545.58,-286.33,813.62
544.49,-285.97,817.28
541.31,-281.58,823.26
537.29,-281.82,820.69
531.43,-280.97,818.25
525.33,-276.94,818.25
527.89,-273.04,820.94
529.11,-280.36,817.40
529.24,-276.21,816.06
537.29,-280.23,816.30
541.07,-279.87,818.62
539.36,-281.09,816.67
535.58,-283.89,814.96
537.04,-284.63,817.16
533.75,-281.58,819.72
538.87,-281.82,819.35
539.85,-286.33,818.38
536.80,-283.89,817.77
537.41,-281.33,815.57
537.29,-280.36,816.18
534.85,-280.23,813.13
531.31,-278.28,808.49
536.56,-275.11,813.62
538.87,-278.04,815.33
534.60,-278.04,813.98
536.80,-277.43,815.94
537.41,-276.09,820.21
538.87,-278.89,818.25
533.02,-281.45,815.08
529.36,-279.75,814.72
530.46,-276.82,820.21
534.97,-276.33,825.21
537.04,-274.62,826.43
542.29,-278.77,824.60
542.90,-284.87,821.30
536.19,-283.89,811.91
531.68,-277.79,810.32
532.41,-274.13,814.23
534.36,-273.04,813.01
534.24,-276.82,812.03
535.70,-277.92,812.15
539.00,-280.84,815.33
537.78,-278.77,817.03
537.29,-276.57,815.94
537.41,-277.55,817.52
534.24,-278.65,815.57
532.29,-277.18,814.96
536.07,-277.92,816.18
537.78,-274.13,818.25
537.65,-274.01,819.60
534.85,-278.16,821.55
528.38,-274.50,829.60
528.50,-279.38,821.06
533.87,-277.06,816.06
552.66,-289.02,814.35
563.76,-292.31,810.93
561.69,-296.09,812.40
548.15,-295.12,810.93
534.60,-281.82,812.76
523.50,-273.52,817.28
518.99,-264.37,820.33
522.40,-264.86,820.45
526.43,-269.38,819.96
531.31,-271.45,816.79
534.48,-274.13,814.96
539.73,-274.50,817.77
542.66,-280.60,816.06
538.14,-281.82,811.42
535.82,-279.75,812.89
537.17,-276.45,818.38
536.68,-275.23,821.30
535.82,-274.38,821.43
534.85,-276.70,822.04
538.51,-278.04,820.82
538.39,-277.43,817.77
539.73,-278.16,816.30
539.85,-276.45,815.94
539.97,-274.01,817.03
538.14,-276.94,812.52
535.09,-277.79,808.49
536.80,-276.70,810.81
540.34,-275.72,814.23
541.44,-275.11,814.35
539.97,-279.14,812.89
