acc_x[mg],acc_y[mg],acc_z[mg]
563.27,-176.41,827.65
563.40,-176.05,825.21
563.15,-176.05,825.09
567.67,-179.58,827.77
569.37,-177.14,829.11
568.28,-177.63,829.84
564.86,-178.61,827.65
562.30,-178.36,825.57
559.13,-174.95,828.50
558.03,-173.73,827.53
558.76,-171.04,830.33
563.88,-175.92,830.09
564.86,-180.19,830.33
560.96,-176.41,826.55
561.93,-175.92,822.65
564.98,-173.97,824.23
564.74,-173.61,827.89
562.30,-178.73,823.62
558.88,-178.12,823.87
565.23,-179.83,825.09
568.28,-178.12,834.48
566.32,-178.12,836.07
561.93,-175.80,830.09
556.56,-171.04,824.60
558.03,-167.87,822.52
558.15,-167.51,818.86
560.71,-173.85,816.06
559.74,-167.51,818.86
567.67,-171.29,818.01
566.57,-175.92,821.79
562.79,-174.22,822.28
560.83,-171.04,824.11
558.15,-166.65,829.48
556.93,-169.82,830.82
557.17,-173.48,829.97
559.00,-173.97,826.67
560.22,-173.61,830.33
563.52,-175.31,831.55
564.01,-178.24,831.80
567.54,-177.27,827.77
567.18,-176.29,825.94
565.71,-175.80,825.70
561.57,-177.02,823.87
558.52,-175.31,822.77
558.64,-174.83,822.40
557.54,-173.48,825.33
559.13,-171.78,828.50
561.20,-173.85,827.28
563.52,-175.07,827.77
565.47,-176.17,824.84
566.08,-180.07,820.21
568.52,-175.44,824.72
568.89,-174.46,825.45
564.86,-178.36,825.09
563.03,-177.39,824.96
563.76,-178.36,826.67
564.37,-176.53,833.38
564.01,-178.36,837.90
561.08,-176.29,834.24
556.56,-174.95,826.67
559.74,-174.34,825.57
563.52,-175.80,823.50
562.42,-176.41,818.01
562.54,-173.24,818.62
568.28,-173.36,821.55
566.69,-178.61,822.65
563.52,-177.88,818.50
563.27,-173.85,823.26
559.13,-169.70,830.33
558.88,-176.66,829.36
555.59,-176.29,820.21
560.96,-175.19,821.55
570.96,-180.19,835.58
567.79,-183.24,833.02
566.20,-184.22,830.82
565.23,-177.39,832.04
562.79,-173.24,834.24
556.44,-169.82,836.68
554.00,-170.56,833.87
551.44,-174.58,828.75
552.29,-166.65,822.40
564.01,-167.63,825.57
568.15,-173.48,819.60
573.16,-180.68,814.59
576.82,-185.44,818.62
563.88,-173.85,810.69
563.40,-177.63,814.23
561.81,-167.51,822.89
562.18,-162.50,821.43
566.81,-174.58,826.31
569.25,-177.75,828.50
574.25,-177.63,828.87
573.77,-176.29,826.43
571.81,-176.29,827.04
575.11,-178.24,838.63
568.64,-176.41,828.14
563.27,-170.80,819.60
561.08,-171.29,813.25
554.37,-167.87,802.64
560.59,-167.87,818.50
572.18,-167.02,831.80
572.30,-167.87,831.19
561.08,-167.87,816.18
558.27,-166.90,812.03
562.30,-168.12,825.45
567.54,-172.51,834.48
562.30,-168.24,827.89
559.86,-164.70,822.28
566.93,-167.14,822.52
577.18,-174.70,829.36
577.43,-182.02,823.13
572.67,-181.90,817.40
567.91,-175.19,825.45
565.59,-170.56,835.21
559.74,-164.09,837.04
557.17,-165.92,831.31
553.88,-169.58,818.62
556.20,-174.09,817.40
559.61,-172.63,822.28
566.08,-172.51,828.75
566.45,-171.65,828.99
563.27,-169.46,825.57
563.76,-175.44,821.06
563.40,-171.78,825.21
567.91,-173.24,829.60
563.15,-174.46,831.43
559.37,-171.17,828.38
562.66,-173.61,831.06
567.18,-173.73,830.45
566.08,-175.44,825.94
564.86,-173.97,821.06
565.47,-178.49,817.64
565.23,-173.36,823.87
561.69,-171.29,817.03
565.47,-173.48,824.72
568.03,-171.41,821.91
577.67,-181.41,824.84
572.79,-183.49,826.55
560.47,-178.00,821.43
558.39,-173.61,829.97
557.54,-168.85,840.34
555.34,-169.34,835.70
558.88,-177.02,831.55
560.71,-176.41,829.11
559.25,-173.61,824.11
562.91,-177.02,826.43
563.64,-176.66,827.65
569.25,-176.29,836.19
560.71,-172.75,826.92
556.93,-171.53,820.45
558.76,-172.51,820.69
561.44,-173.85,821.30
556.93,-171.78,825.70
544.12,-160.19,822.52
546.19,-154.21,817.16
569.25,-172.39,826.18
588.53,-184.95,842.04
584.38,-186.42,838.51
563.40,-173.48,823.38
541.80,-162.99,804.22
539.00,-160.43,808.49
552.90,-159.21,824.84
576.94,-178.85,833.99
583.04,-187.88,830.94
587.67,-189.59,827.89
588.89,-193.61,830.33
579.13,-188.00,832.41
565.35,-178.85,825.94
554.86,-173.97,821.67
548.39,-171.17,817.28
554.12,-169.95,821.30
564.37,-171.78,821.91
570.35,-178.49,818.86
570.84,-180.07,817.64
571.33,-178.61,819.84
569.25,-174.22,819.47
569.62,-176.66,820.45
570.96,-180.19,820.94
570.59,-181.66,823.74
565.10,-178.73,822.40
561.44,-172.75,825.21
564.49,-172.39,828.26
568.76,-174.22,831.55
570.23,-175.44,829.97
568.15,-175.19,830.58
563.40,-174.95,829.72
564.86,-172.75,831.31
558.76,-168.97,824.60
559.49,-169.58,822.40
559.25,-168.85,823.99
563.64,-172.51,823.26
564.86,-173.85,827.65
564.74,-169.82,825.70
560.59,-169.58,821.91
561.81,-167.02,822.77
567.42,-174.09,820.69
567.18,-175.07,825.33
564.25,-178.85,825.70
559.86,-162.38,812.15
573.40,-177.14,838.02
574.86,-180.44,833.50
570.72,-180.07,825.21
568.76,-174.46,823.74
560.96,-169.82,807.76
558.39,-172.39,799.10
565.35,-177.75,805.20
574.38,-175.80,824.48
571.81,-174.83,825.82
554.25,-173.00,817.77
541.92,-160.80,828.87
544.12,-159.21,838.26
550.83,-168.12,842.41
566.45,-179.46,839.24
574.86,-178.49,827.28
582.55,-182.76,826.92
584.75,-187.51,827.16
573.16,-186.54,814.96
566.20,-184.10,818.25
563.52,-175.44,824.72
557.66,-170.07,823.26
557.54,-172.14,827.16
563.27,-174.95,838.75
560.96,-175.31,826.79
562.42,-177.02,818.62
564.86,-179.46,818.86
568.03,-178.00,827.77
575.11,-180.68,839.12
565.96,-174.58,833.75
557.17,-167.02,817.03
562.79,-173.36,816.06
572.91,-173.73,824.11
578.40,-184.83,818.62
571.81,-183.85,816.67
571.81,-176.66,829.36
563.27,-170.43,830.70
559.74,-166.65,830.94
563.03,-170.19,833.50
559.86,-175.44,822.89
559.86,-176.05,817.89
561.81,-173.36,822.77
558.03,-172.39,818.62
562.05,-173.00,829.48
561.69,-165.07,833.38
562.18,-170.80,822.52
561.08,-174.34,816.55
563.40,-172.02,809.71
564.13,-173.85,805.44
565.59,-172.26,823.62
573.64,-181.41,842.41
564.01,-171.53,837.41
560.47,-165.92,831.80
560.47,-169.34,823.62
564.49,-176.78,817.03
572.06,-185.07,819.11
579.74,-182.63,820.45
578.04,-180.68,821.43
