acc_x[mg],acc_y[mg],acc_z[mg]
541.44,-332.08,798.25
537.78,-320.49,792.88
535.46,-320.62,780.68
526.67,-328.06,761.52
525.58,-345.63,745.30
538.87,-360.14,742.25
568.89,-375.39,751.76
598.90,-381.25,774.33
594.75,-368.56,802.03
563.88,-345.99,815.20
533.63,-339.53,820.69
508.62,-317.20,838.38
498.86,-297.92,850.58
498.49,-295.24,844.24
495.81,-292.92,828.99
497.88,-296.46,813.62
502.40,-309.64,793.61
508.98,-311.59,773.72
532.41,-332.08,762.26
542.90,-340.38,757.74
557.78,-350.51,757.50
568.52,-358.07,766.77
573.03,-365.15,772.26
566.08,-367.22,782.63
556.81,-369.90,791.29
545.83,-366.49,800.56
541.07,-355.02,815.94
541.68,-356.24,825.33
537.04,-354.29,827.40
534.73,-352.34,827.04
534.12,-348.43,823.13
528.99,-339.65,819.23
528.14,-339.53,808.86
526.67,-338.79,799.34
523.26,-333.06,793.37
525.33,-325.74,791.17
528.02,-323.30,788.49
530.70,-325.86,787.63
527.16,-327.45,788.73
523.01,-328.91,788.00
520.70,-321.84,792.51
527.16,-316.83,807.52
537.04,-322.69,810.20
537.04,-325.01,801.17
537.53,-326.96,793.37
540.70,-330.86,791.66
538.63,-334.77,788.24
534.24,-331.96,788.61
536.07,-330.25,796.78
543.27,-333.18,806.79
544.85,-335.62,808.01
546.93,-334.04,808.98
547.17,-334.28,807.64
543.51,-331.47,803.37
540.46,-330.01,795.81
539.36,-326.72,790.19
537.65,-323.06,787.27
539.48,-317.32,789.46
540.46,-316.71,792.15
541.19,-315.13,794.34
540.09,-321.71,793.73
537.04,-327.45,791.41
536.43,-329.77,790.19
536.68,-333.91,791.05
539.36,-331.11,797.39
544.36,-326.23,806.91
546.44,-328.06,811.67
544.85,-327.57,809.23
540.22,-323.67,808.74
533.87,-324.28,806.18
528.50,-322.32,807.27
527.28,-318.91,805.20
526.67,-315.25,801.91
531.80,-315.00,797.03
536.68,-320.13,791.05
539.24,-321.23,787.27
546.44,-320.86,789.71
550.83,-320.13,797.64
552.90,-325.01,799.10
547.17,-325.50,798.98
538.51,-320.01,796.90
540.34,-319.76,796.42
539.61,-323.06,800.56
532.53,-317.69,796.29
530.82,-316.71,799.71
527.89,-317.81,797.64
526.31,-318.79,795.68
