acc_x[mg],acc_y[mg],acc_z[mg]
191.05,795.07,534.97
185.93,800.44,533.87
183.73,802.64,537.90
185.07,801.54,539.00
186.90,798.98,538.26
190.20,797.39,539.61
194.10,793.00,544.24
196.18,792.27,544.36
197.52,791.29,546.80
195.20,792.27,546.80
197.27,791.90,547.54
196.54,791.41,548.76
191.78,794.83,545.83
188.61,797.27,543.88
185.56,798.12,543.02
183.49,800.81,541.44
183.98,800.44,542.05
183.85,800.08,540.95
184.34,800.44,541.19
189.47,796.90,542.66
190.93,797.27,543.51
193.37,792.51,541.44
192.64,790.19,539.48
190.81,796.05,541.19
192.64,803.86,545.34
193.49,798.37,544.61
188.49,795.44,541.68
186.29,794.46,542.66
187.15,793.49,546.32
187.39,794.34,550.34
185.07,795.20,549.98
184.71,797.88,551.32
186.29,797.88,548.39
189.47,794.83,543.39
191.91,789.71,540.46
190.20,792.88,541.92
190.69,795.07,549.61
181.17,793.12,554.25
173.24,799.83,548.63
169.70,803.98,542.90
168.85,806.54,538.26
178.00,809.84,535.21
188.49,804.35,531.92
192.15,800.44,525.33
194.10,795.81,526.31
194.10,795.32,533.51
195.93,795.81,543.75
195.20,794.59,548.51
190.44,796.05,547.54
186.17,798.61,545.83
183.73,800.32,545.58
183.37,800.20,544.12
182.88,799.34,538.39
181.66,801.17,534.48
184.10,800.32,536.56
186.05,799.71,539.97
186.66,798.37,539.00
189.59,798.73,538.14
192.27,795.32,537.65
193.86,788.73,534.36
193.86,791.05,533.02
189.83,798.86,537.04
182.76,804.83,541.31
178.36,805.20,545.22
174.09,806.05,546.44
171.53,804.35,544.97
172.51,800.81,546.93
174.34,800.81,548.63
176.90,798.49,551.93
181.05,797.88,553.88
185.32,795.93,550.22
188.00,792.51,545.46
186.17,793.12,540.58
187.15,799.34,542.05
190.81,795.81,542.90
191.66,791.17,539.00
198.74,790.07,539.12
204.84,780.80,548.51
184.83,790.44,549.61
171.17,809.47,549.24
166.77,801.91,548.02
161.53,808.37,541.31
168.24,802.03,546.07
173.24,798.25,554.00
176.17,795.68,552.54
177.39,796.17,550.34
173.73,799.71,546.19
171.29,800.81,546.44
173.61,797.64,542.90
170.80,800.44,538.87
171.53,802.64,541.44
177.27,800.08,543.39
185.93,790.44,543.88
193.49,783.61,542.90
197.15,783.12,546.68
197.88,788.97,553.27
193.13,788.61,556.08
179.34,792.63,550.71
171.29,801.05,548.76
174.83,804.71,554.25
173.48,799.71,554.00
168.97,799.10,550.10
168.73,800.69,550.34
164.09,802.76,544.24
165.43,797.27,544.24
168.36,798.12,547.41
168.36,798.49,548.51
167.51,801.05,546.93
168.97,800.44,546.44
174.34,797.27,543.63
176.78,792.88,540.83
178.36,795.81,543.02
179.83,794.83,545.46
179.34,792.27,539.48
180.07,790.80,536.43
183.24,792.51,538.14
186.54,789.10,539.97
184.71,787.88,543.88
174.22,793.73,548.51
