acc_x[mg],acc_y[mg],acc_z[mg]
497.39,163.97,862.66
490.93,169.95,869.62
494.71,165.07,869.37
491.78,167.02,870.47
488.73,171.41,874.01
490.93,167.63,873.76
490.32,163.72,873.52
492.27,159.09,870.84
495.93,166.90,871.32
497.52,162.50,867.91
488.85,169.21,864.86
481.78,162.38,852.05
477.02,167.87,841.07
472.02,174.95,850.34
480.19,165.55,843.14
477.39,176.41,845.22
494.83,167.87,858.64
509.84,152.62,869.74
513.01,143.47,867.54
510.69,137.49,862.54
506.30,142.86,866.20
500.44,152.99,875.23
503.62,146.52,875.96
486.54,151.40,879.74
472.14,168.60,892.31
478.24,157.14,884.38
478.85,153.84,873.28
479.09,149.08,870.59
476.53,152.50,867.91
480.80,155.79,865.47
470.31,158.60,870.10
480.92,153.96,860.10
491.05,146.03,863.03
497.27,133.96,867.30
497.27,126.64,864.37
487.63,136.40,868.40
493.00,152.13,886.33
504.84,142.62,905.36
509.59,131.64,896.82
503.86,129.69,874.01
495.08,136.64,852.41
499.47,139.32,849.36
506.54,142.50,862.78
511.91,146.28,867.91
511.67,138.71,866.20
506.06,140.30,858.88
502.15,148.72,861.32
498.74,150.55,866.93
499.59,150.91,867.54
501.54,151.77,868.03
504.59,152.74,868.03
510.33,146.28,867.54
503.37,149.57,866.44
500.20,152.87,855.34
502.40,157.26,862.66
502.03,157.01,868.03
497.15,161.04,863.64
489.22,173.85,862.42
484.22,174.83,852.29
476.04,178.61,845.58
480.80,177.51,847.66
492.39,171.90,859.00
493.98,165.07,856.44
489.46,166.04,843.26
493.37,170.31,843.75
503.13,168.73,856.32
503.37,175.92,868.15
506.91,162.63,855.71
496.30,168.73,848.27
498.00,169.09,849.73
493.00,178.73,864.74
493.12,176.41,864.98
502.76,166.41,860.59
503.98,162.50,865.59
491.90,170.07,873.76
476.29,193.86,881.33
468.48,196.05,872.79
461.16,204.72,861.56
464.82,212.52,860.22
476.90,197.88,854.61
480.44,190.81,849.12
482.63,187.76,840.58
482.27,188.12,839.85
489.71,185.44,847.90
498.25,179.95,854.24
508.50,175.31,861.44
514.47,170.92,866.93
511.55,167.87,867.30
504.71,157.99,863.88
484.58,171.90,871.81
485.19,178.73,885.60
496.17,172.87,886.82
501.30,180.44,878.77
503.74,172.39,856.93
501.05,164.58,834.85
500.32,166.77,818.74
507.40,169.09,823.87
515.57,157.14,838.14
517.40,158.36,849.24
514.47,148.60,849.12
494.34,167.26,852.78
503.49,164.70,856.93
506.30,159.94,865.59
508.37,150.55,870.35
503.25,155.06,876.33
498.25,162.50,885.11
493.49,170.31,899.26
490.68,171.29,907.31
486.54,163.60,900.97
487.63,161.04,882.91
494.47,164.46,889.38
508.50,159.82,900.36
505.81,158.84,887.06
489.10,168.36,861.56
469.21,178.97,838.75
461.16,192.03,827.04
452.74,197.76,806.30
461.04,196.30,789.58
465.55,194.35,786.78
465.43,197.76,788.85
475.92,203.37,812.76
494.34,184.46,843.75
502.40,173.97,862.17
502.03,167.02,869.74
499.10,160.43,877.79
502.27,153.35,890.11
505.57,146.89,900.36
507.76,141.76,904.26
506.54,141.89,907.68
503.37,143.72,904.51
497.15,148.11,894.63
485.19,156.65,881.45
477.63,168.12,874.98
474.46,173.24,872.06
473.60,178.36,874.01
475.31,182.02,872.79
479.46,188.98,869.62
482.39,189.22,863.76
479.95,181.78,855.46
478.85,183.24,849.36
480.07,178.97,844.12
478.61,175.68,835.46
481.66,178.73,829.97
489.71,174.83,832.16
495.81,173.12,839.73
501.30,168.97,845.83
507.40,161.53,849.61
509.35,156.53,856.44
512.16,159.45,867.42
515.69,155.43,875.96
515.57,149.82,877.06
511.91,151.40,875.72
504.96,152.62,873.76
491.05,160.19,872.06
478.73,168.73,867.79
470.19,169.58,863.76
467.99,169.58,859.86
464.21,174.34,862.05
459.33,180.56,864.61
466.04,177.39,870.23
469.82,171.41,872.54
476.65,168.12,873.15
478.85,162.50,877.91
485.80,157.01,877.67
489.22,155.79,882.18
493.25,152.74,885.11
494.83,157.62,886.70
493.37,156.89,883.89
490.07,158.72,876.33
489.95,155.06,865.96
488.00,157.38,860.34
492.51,158.11,852.29
495.20,163.72,853.02
499.71,153.48,845.34
499.83,157.50,846.44
504.71,153.96,847.05
503.49,149.94,848.75
501.54,151.65,851.07
502.76,153.60,856.68
501.30,154.70,862.78
500.93,159.70,866.57
496.05,158.97,862.91
491.78,158.36,857.42
486.78,159.70,858.15
487.27,172.39,862.17
484.95,164.94,856.32
480.31,156.28,847.53
481.90,160.92,851.80
488.61,152.38,855.34
486.78,147.62,854.98
485.80,152.74,861.20
491.42,152.26,871.45
494.10,147.99,880.11
495.56,147.62,886.57
496.42,140.18,884.99
494.71,138.10,886.33
495.08,141.40,890.97
493.86,140.79,890.60
493.73,143.23,882.06
494.34,145.79,869.37
501.18,141.15,858.51
503.98,135.05,854.61
509.47,135.18,853.51
510.81,140.30,857.66
510.94,136.40,854.61
507.64,138.10,849.00
506.06,135.66,846.44
498.74,135.91,845.22
492.88,142.74,853.88
489.95,136.27,864.37
489.22,133.96,878.03
488.61,131.03,886.21
483.36,127.12,885.96
477.39,133.59,892.80
474.95,136.52,897.07
472.63,135.79,894.50
468.72,135.42,887.06
469.21,135.42,887.31
471.29,136.03,885.48
472.02,137.98,882.91
480.68,137.62,877.67
485.32,137.01,871.81
492.39,134.44,864.98
493.00,130.17,861.69
486.05,135.91,862.91
479.58,142.01,865.96
479.58,144.45,871.57
483.24,142.74,870.35
489.71,139.81,870.10
492.39,133.96,867.91
492.64,132.74,864.86
492.51,131.03,866.32
492.88,131.64,871.08
490.93,129.32,876.57
486.17,129.20,879.25
479.09,132.86,880.47
472.63,134.44,881.08
466.41,139.20,882.91
465.92,138.84,880.11
467.50,134.93,880.35
467.38,138.35,886.09
469.70,134.93,882.06
467.14,136.88,878.16
469.21,137.74,878.03
471.29,131.64,876.81
471.65,132.74,879.25
478.36,128.47,879.25
477.87,125.66,880.60
480.56,124.68,880.11
481.90,123.22,880.47
483.61,123.83,883.04
485.68,120.41,880.47
