acc_x[mg],acc_y[mg],acc_z[mg]
609.15,-121.39,804.59
610.98,-125.29,803.49
611.22,-125.29,806.30
609.63,-126.15,803.00
606.95,-124.44,800.44
606.58,-118.10,801.66
610.85,-121.27,809.59
607.44,-124.44,804.22
605.85,-125.78,802.52
612.44,-129.08,808.13
613.05,-124.68,812.52
610.61,-126.03,804.47
608.41,-126.27,804.83
607.80,-124.44,803.25
605.97,-122.73,798.00
605.24,-120.90,798.61
606.10,-121.51,797.88
601.22,-116.51,799.83
607.68,-118.10,799.22
605.49,-120.54,801.42
603.90,-118.46,801.91
601.70,-117.49,800.56
600.00,-114.44,801.54
605.97,-120.41,803.74
605.36,-121.27,803.25
604.88,-121.63,800.93
607.19,-120.90,804.10
610.00,-121.76,807.15
610.85,-121.51,805.69
612.07,-123.59,806.42
610.49,-122.73,805.81
609.39,-123.10,805.57
605.73,-121.27,801.66
606.10,-121.27,802.52
603.17,-120.66,801.78
603.78,-121.39,797.27
604.75,-121.76,801.17
606.34,-123.34,798.86
605.61,-122.73,802.88
609.15,-121.39,801.66
609.76,-126.39,804.47
608.78,-121.76,803.61
609.76,-126.27,798.49
609.15,-124.32,802.88
609.39,-120.17,805.57
608.54,-123.71,805.93
604.88,-123.46,804.10
609.39,-125.54,807.03
606.58,-125.29,804.10
610.73,-125.78,807.15
609.27,-124.32,811.06
606.71,-123.10,805.81
605.12,-122.49,802.88
604.51,-122.12,798.98
603.53,-119.68,794.71
605.49,-120.29,796.54
608.66,-119.56,802.15
608.90,-118.83,798.00
605.73,-122.85,796.05
602.31,-119.44,795.32
602.68,-117.36,800.69
604.02,-118.71,802.88
603.53,-120.78,803.25
604.88,-122.49,805.32
605.24,-122.12,803.74
609.27,-125.42,806.18
611.95,-126.27,804.35
612.93,-126.64,803.61
616.22,-125.54,806.18
613.05,-124.20,806.79
608.90,-122.49,803.49
607.32,-124.20,801.78
604.63,-124.81,802.27
601.22,-123.83,795.93
600.73,-123.34,793.24
604.02,-122.98,797.76
607.44,-126.39,801.42
610.37,-121.63,806.30
611.95,-126.15,807.76
609.02,-127.86,806.05
606.83,-126.76,803.49
605.85,-125.54,799.34
607.32,-121.02,802.64
611.22,-122.73,805.93
606.83,-124.20,800.69
605.49,-123.95,800.56
610.49,-125.90,802.64
612.32,-126.15,806.42
612.07,-124.68,809.47
609.76,-123.59,809.10
609.02,-123.83,801.66
606.83,-122.00,795.56
607.44,-123.34,794.10
608.90,-122.73,793.12
609.51,-123.22,795.93
613.66,-121.39,797.03
613.17,-121.15,796.78
607.19,-123.83,794.95
600.61,-120.05,793.73
602.92,-119.80,798.37
601.58,-117.49,803.13
602.07,-120.41,801.91
604.14,-122.12,804.47
607.07,-123.10,802.64
