acc_x[mg],acc_y[mg],acc_z[mg]
467.87,168.48,852.29
471.77,175.07,856.68
482.14,176.41,862.17
487.39,164.70,864.74
490.93,169.58,874.25
492.27,166.04,880.11
487.27,167.63,878.03
482.39,170.80,877.42
486.29,170.56,880.23
488.00,167.63,880.60
488.98,166.90,880.11
488.37,163.48,876.81
480.68,170.80,873.15
483.12,172.75,867.54
482.02,170.43,864.37
480.56,169.58,861.93
482.63,162.38,861.08
483.12,161.89,864.37
487.15,163.85,872.67
491.29,165.19,881.82
492.15,160.55,885.23
486.17,164.46,875.47
486.78,171.04,867.54
484.46,171.04,868.15
478.00,177.63,864.74
476.04,182.27,861.20
484.71,187.76,864.49
492.03,183.37,868.03
488.00,175.92,858.88
482.63,184.10,852.90
488.12,187.51,858.27
487.51,188.86,860.95
485.68,184.83,852.54
487.27,186.29,855.95
487.15,188.25,863.39
486.78,193.61,862.42
484.71,203.25,862.54
483.24,206.42,864.61
481.29,205.69,859.61
476.65,209.35,851.68
471.65,213.99,851.44
457.87,239.12,877.91
474.09,221.31,882.30
483.61,205.69,863.15
495.69,187.51,839.36
501.54,180.68,835.82
507.03,191.66,847.05
506.18,199.84,854.37
499.96,205.20,848.63
493.61,209.84,837.65
495.20,201.42,826.31
495.56,199.84,828.26
496.78,202.28,834.48
500.93,203.50,843.39
503.25,201.67,853.51
511.18,194.22,860.22
513.25,190.93,862.91
508.62,198.25,857.29
500.20,193.74,845.58
495.69,189.10,838.75
494.34,185.93,841.68
484.10,196.79,852.05
468.36,209.60,855.34
453.47,215.45,845.46
441.88,216.43,835.33
452.13,212.40,833.75
474.95,196.42,849.12
497.39,207.64,872.42
523.62,199.47,868.76
527.65,188.98,862.66
524.23,186.90,868.03
520.33,188.98,876.57
511.67,182.27,881.08
501.91,185.07,877.91
495.20,186.05,875.59
494.83,193.61,877.30
495.08,190.93,874.01
496.78,199.84,877.42
501.05,190.93,883.65
499.83,178.73,881.57
480.44,192.76,871.81
481.17,209.11,867.54
460.67,206.42,867.54
443.96,187.15,814.84
433.95,203.01,808.86
448.23,219.23,828.50
458.84,226.68,843.14
457.13,248.27,852.90
459.94,254.74,854.73
477.14,265.59,868.27
498.13,270.47,886.45
506.42,243.02,884.01
496.30,207.64,873.03
470.07,212.28,866.32
453.35,208.13,850.22
438.96,192.27,822.16
431.76,200.93,809.47
445.18,218.38,817.52
458.96,213.01,822.16
463.11,202.52,816.91
466.65,209.84,823.01
479.34,218.75,849.73
497.52,233.02,884.99
506.06,221.06,897.19
495.44,199.35,889.26
493.98,188.98,884.87
491.42,192.15,894.63
488.49,203.98,905.36
478.00,203.98,898.16
475.56,183.00,877.79
463.11,203.37,869.74
449.45,203.74,840.82
432.73,214.72,810.93
433.95,199.96,793.98
453.23,188.25,799.47
482.75,183.73,825.70
511.30,197.27,859.98
528.99,200.81,886.21
517.89,195.57,903.17
507.28,184.71,899.14
508.50,181.78,882.43
514.96,183.85,874.25
513.74,161.53,863.64
500.32,141.89,831.43
489.22,108.95,796.17
477.02,106.63,790.80
462.14,100.16,809.10
450.18,132.86,871.45
452.62,159.70,954.65
466.28,187.15,996.25
478.00,213.62,984.66
487.15,217.28,945.01
484.34,189.47,905.61
472.26,189.95,908.17
470.43,216.06,921.95
467.87,222.16,908.90
455.30,209.35,871.69
447.25,195.69,825.94
445.67,199.96,789.34
453.96,201.42,767.75
467.14,192.03,759.33
491.90,183.61,770.06
514.72,158.23,785.68
518.01,148.96,803.74
516.30,155.55,829.97
518.74,162.75,868.27
521.67,165.43,900.73
521.79,146.03,912.93
510.81,141.52,915.37
502.88,138.47,918.17
489.10,148.84,911.95
464.82,161.16,895.48
448.84,187.15,892.80
459.57,198.01,900.85
465.92,185.20,886.57
478.12,183.49,864.13
486.41,178.12,853.02
492.51,173.61,846.80
505.57,171.90,849.61
508.74,168.85,860.10
515.45,150.67,857.54
509.35,145.67,854.00
515.57,158.60,865.35
520.09,165.19,874.98
520.21,153.60,863.39
506.67,157.26,847.66
503.62,165.80,851.68
504.47,167.87,864.00
503.98,171.04,864.86
497.52,171.29,864.61
495.56,177.75,866.81
496.30,177.51,865.71
498.98,186.66,869.01
507.28,183.00,868.03
510.57,178.85,862.54
507.28,182.76,850.71
482.02,191.17,846.80
451.64,206.55,840.46
451.77,215.94,842.53
441.76,229.85,857.54
451.40,222.77,858.15
482.75,204.23,858.39
514.72,180.19,856.07
529.85,167.63,843.75
523.99,170.80,826.06
514.60,186.05,817.52
505.08,191.54,821.18
493.86,201.30,828.38
489.46,205.08,827.53
513.99,172.02,845.58
518.62,175.31,875.11
525.70,167.87,875.96
516.91,175.19,878.28
520.09,162.14,874.86
494.47,174.70,846.56
