acc_x[mg],acc_y[mg],acc_z[mg]
505.08,-281.21,839.12
502.76,-283.04,837.77
501.42,-280.23,835.58
505.20,-277.92,837.90
508.01,-278.65,837.90
508.62,-282.67,833.14
507.89,-279.75,833.87
506.06,-278.28,835.70
504.10,-277.06,833.50
500.81,-279.87,831.43
499.59,-277.31,831.67
499.59,-275.11,834.85
500.44,-273.89,838.26
499.83,-274.99,838.38
500.32,-275.48,838.02
501.79,-277.79,837.29
498.37,-276.09,836.55
499.22,-277.55,835.94
501.30,-276.57,837.41
501.79,-279.62,836.55
503.13,-282.06,837.77
506.18,-282.06,841.07
509.47,-283.41,843.26
507.52,-284.02,840.95
504.59,-284.38,840.46
505.32,-285.11,838.75
505.93,-279.01,838.99
506.30,-277.67,838.38
501.79,-282.80,833.14
498.13,-283.28,830.58
498.13,-282.06,832.65
501.54,-281.82,835.33
504.23,-283.41,837.41
504.84,-285.97,836.43
504.47,-285.48,837.77
505.81,-284.63,840.58
505.69,-283.89,843.63
502.88,-284.38,839.36
500.44,-280.72,836.68
501.30,-277.18,838.38
503.37,-278.53,835.58
504.47,-279.75,834.36
504.59,-283.28,833.26
499.35,-276.70,830.82
502.15,-278.65,832.65
500.44,-279.75,835.94
500.20,-280.23,833.26
497.52,-279.01,832.77
502.64,-283.16,836.92
505.69,-282.19,844.24
507.52,-281.21,840.70
504.59,-284.75,838.51
504.23,-285.72,838.38
502.40,-279.75,841.19
504.23,-280.23,839.97
503.86,-278.28,840.82
504.23,-282.06,840.21
502.76,-283.65,837.04
505.08,-280.48,838.63
507.28,-278.77,845.34
505.93,-280.48,845.70
500.57,-286.09,832.89
494.83,-283.89,827.04
501.30,-277.55,831.55
504.35,-279.87,833.63
499.59,-277.79,827.89
503.25,-282.80,831.31
506.54,-282.55,839.85
508.86,-282.67,835.46
506.91,-285.48,834.48
506.79,-286.09,839.12
506.91,-283.89,838.38
506.54,-282.92,838.02
504.96,-285.36,835.09
502.88,-283.04,830.45
506.30,-278.89,832.53
511.18,-282.19,833.63
510.08,-284.02,831.31
505.20,-283.04,829.84
504.10,-280.60,832.04
507.03,-280.11,836.31
503.49,-281.82,833.14
507.89,-281.58,843.02
510.69,-288.41,851.56
502.15,-287.80,843.87
499.10,-283.53,844.48
502.64,-279.01,853.76
500.69,-279.62,845.95
496.17,-279.62,831.80
502.27,-280.60,830.82
508.25,-281.09,833.75
510.08,-280.72,829.48
510.33,-280.23,827.28
512.52,-282.31,831.80
509.23,-283.04,831.31
508.01,-279.14,829.48
507.64,-278.53,832.28
506.30,-276.94,834.11
507.28,-273.89,835.33
507.28,-276.70,834.97
504.71,-273.40,832.89
503.01,-273.16,831.19
505.69,-275.60,834.24
508.50,-277.55,840.82
506.54,-280.11,838.63
506.91,-279.75,835.82
509.47,-279.14,841.43
509.96,-278.16,842.29
506.18,-278.53,838.75
506.54,-276.45,836.43
507.03,-278.04,835.82
507.03,-276.09,833.38
508.50,-274.13,833.26
510.08,-275.48,830.33
510.81,-278.53,826.31
510.57,-278.04,825.94
506.79,-274.26,829.23
507.64,-272.30,832.77
504.96,-276.57,831.80
502.40,-276.09,830.82
506.42,-274.26,838.38
510.94,-275.96,845.70
508.01,-277.06,841.92
503.62,-277.43,839.36
507.64,-280.11,840.46
509.35,-277.43,842.53
510.33,-277.43,842.65
506.18,-279.01,838.14
503.86,-278.89,832.28
504.96,-279.38,832.77
508.13,-275.84,836.43
507.40,-275.72,836.80
504.59,-275.96,833.75
505.45,-278.65,833.50
504.23,-276.70,834.11
507.15,-275.11,836.55
507.40,-276.33,836.80
504.47,-275.23,835.94
503.01,-276.70,835.21
504.47,-280.60,833.14
506.18,-279.75,839.73
505.69,-281.58,839.73
503.98,-281.33,834.97
505.57,-281.21,839.97
508.62,-280.97,843.51
505.69,-278.16,841.68
503.49,-275.35,838.99
504.59,-276.21,839.24
501.54,-275.96,836.31
499.83,-272.91,829.48
504.35,-274.50,829.72
509.23,-276.45,833.63
511.06,-275.48,834.72
508.98,-275.35,834.60
507.52,-279.87,833.38
505.57,-281.09,832.53
502.88,-278.65,832.28
504.96,-275.60,837.65
505.45,-275.84,839.85
505.69,-276.82,839.97
509.11,-279.87,843.51
507.28,-276.82,845.09
510.57,-279.87,842.41
507.40,-276.21,843.63
507.15,-275.11,840.21
501.91,-274.38,835.46
501.05,-275.35,830.94
500.32,-274.26,830.21
502.03,-274.62,831.80
503.74,-273.04,835.46
505.81,-273.52,835.70
505.45,-275.84,834.11
506.06,-276.45,833.38
506.91,-278.28,833.75
510.94,-274.87,837.65
514.35,-279.75,836.55
513.38,-283.28,836.68
509.47,-284.63,837.65
506.30,-281.33,839.36
504.10,-276.82,841.92
505.08,-276.45,841.68
502.15,-277.18,839.12
504.10,-275.48,839.36
506.91,-275.48,839.48
505.57,-274.87,837.16
503.62,-274.26,833.26
503.49,-271.82,832.41
505.81,-273.16,830.94
505.08,-272.30,828.38
508.50,-273.52,831.19
507.15,-274.01,832.16
506.79,-272.30,831.80
507.64,-276.33,833.87
506.30,-276.82,835.58
511.30,-280.23,833.26
519.72,-283.16,838.51
520.45,-279.87,846.31
515.69,-279.62,844.24
509.47,-278.40,841.07
505.45,-274.38,840.70
504.10,-274.87,839.48
504.84,-273.77,838.14
499.96,-267.91,840.58
498.37,-265.84,837.53
496.78,-269.01,828.26
497.64,-267.67,828.26
502.76,-269.38,829.97
502.88,-270.23,831.67
505.20,-272.79,832.41
506.91,-275.23,836.19
505.69,-274.62,838.63
508.13,-277.06,840.58
508.98,-273.52,846.31
506.42,-270.96,847.78
504.23,-274.62,845.70
505.81,-275.48,845.22
504.47,-276.09,841.92
502.64,-277.18,836.07
506.30,-277.18,836.43
508.74,-276.82,837.04
505.57,-275.11,835.70
506.06,-271.82,837.53
506.67,-274.87,838.26
503.01,-276.82,831.67
503.01,-274.62,829.60
507.15,-271.69,835.94
508.13,-271.57,835.94
508.37,-273.28,836.31
