acc_x[mg],acc_y[mg],acc_z[mg]
558.64,-176.78,822.89
559.86,-176.66,830.45
568.89,-181.29,837.90
567.67,-181.90,835.21
565.71,-180.68,829.72
562.79,-176.29,827.28
561.57,-175.56,826.67
563.64,-177.39,827.65
563.88,-179.71,823.26
561.32,-176.90,816.06
563.27,-173.36,818.13
568.89,-171.04,823.26
568.28,-176.29,823.99
565.23,-177.75,823.38
562.66,-172.87,821.79
560.59,-169.21,819.23
559.86,-170.56,822.04
563.15,-176.78,828.50
566.93,-174.70,833.14
564.49,-173.12,826.67
562.79,-171.17,823.13
562.54,-173.61,823.01
567.42,-173.48,827.40
570.11,-174.95,834.48
566.81,-173.61,829.84
560.35,-170.19,821.06
560.22,-171.17,820.94
561.81,-172.26,824.23
561.08,-173.12,825.09
560.35,-170.68,823.26
562.66,-167.87,825.70
564.01,-173.48,823.13
561.20,-173.00,819.47
562.30,-174.83,819.11
563.03,-173.24,820.57
564.98,-170.43,826.06
566.57,-175.44,828.50
562.66,-177.63,827.16
561.93,-177.02,827.04
563.76,-178.61,831.06
565.10,-176.66,831.55
564.98,-177.88,832.28
566.08,-178.24,832.04
567.91,-179.34,827.65
564.13,-174.70,822.77
563.76,-176.53,819.47
564.98,-176.53,817.52
565.96,-173.73,819.11
567.91,-173.61,818.13
564.25,-176.41,816.91
563.40,-174.83,819.11
564.01,-171.90,823.38
563.64,-170.68,831.31
562.54,-172.02,831.55
559.61,-173.61,826.18
559.37,-172.63,827.40
561.69,-172.75,831.19
564.74,-171.29,833.14
565.35,-174.22,824.72
565.35,-176.53,820.82
568.89,-179.10,825.21
567.06,-177.39,824.48
561.81,-175.44,820.69
558.03,-174.58,820.45
555.95,-172.51,817.16
558.52,-176.53,817.52
563.15,-171.65,820.69
568.28,-174.34,823.26
573.03,-179.34,826.67
567.18,-179.46,823.38
563.27,-178.49,821.06
564.74,-177.63,821.30
561.93,-172.26,822.77
566.08,-179.10,826.18
564.49,-183.37,830.21
567.91,-183.85,833.26
570.35,-183.61,835.58
569.98,-184.83,834.97
569.86,-185.68,833.02
569.25,-187.27,828.50
566.08,-183.00,821.67
565.71,-180.93,820.94
563.27,-181.29,819.60
560.83,-180.93,816.06
562.30,-177.02,819.47
566.45,-174.70,822.28
562.66,-177.51,814.96
563.03,-181.41,813.86
565.59,-181.05,821.06
562.42,-178.24,823.99
558.64,-176.05,823.74
562.66,-179.83,828.14
564.86,-182.76,828.01
565.23,-180.93,829.48
566.57,-180.19,833.14
568.15,-178.73,831.67
564.98,-179.22,825.33
565.35,-179.71,820.57
565.23,-176.66,823.87
562.66,-177.39,819.35
554.37,-174.70,815.81
553.27,-170.19,818.13
555.22,-169.58,819.96
556.32,-173.61,816.91
562.66,-175.19,818.99
573.28,-180.07,822.28
573.40,-179.83,819.23
573.28,-183.98,813.13
575.47,-185.44,815.57
573.52,-182.02,821.55
570.96,-180.93,821.55
569.62,-185.07,826.06
567.91,-186.05,829.84
566.45,-182.76,832.65
569.13,-183.85,835.58
568.03,-186.05,830.33
563.64,-183.00,821.79
560.59,-181.54,814.96
562.30,-180.44,813.13
565.84,-185.44,815.81
566.81,-183.98,821.91
566.45,-177.27,825.45
565.10,-179.34,824.60
564.01,-181.29,822.65
