acc_x[mg],acc_y[mg],acc_z[mg]
470.19,142.62,888.89
467.87,141.89,886.33
469.21,141.64,884.26
469.58,138.84,881.82
468.36,138.47,878.52
466.41,138.10,877.55
468.48,139.57,876.45
468.36,141.15,876.69
469.21,141.89,878.40
472.14,139.93,877.42
471.90,137.13,876.57
470.68,136.27,875.47
476.04,129.93,877.67
471.65,132.61,880.23
476.29,134.93,886.09
474.09,133.35,889.38
469.58,137.13,888.89
467.50,136.76,888.16
464.82,135.18,886.82
461.04,135.05,886.09
462.38,134.93,887.67
462.87,132.61,889.62
463.97,136.03,888.53
464.09,138.96,888.65
462.75,135.91,884.38
461.04,137.62,881.45
462.75,142.50,885.60
466.77,142.50,885.84
464.94,138.71,880.35
466.16,141.03,876.57
468.72,137.37,874.50
465.06,139.57,872.67
470.68,136.88,875.84
472.02,132.74,879.74
472.99,134.69,879.62
473.85,135.30,885.11
469.82,138.47,888.65
467.63,140.18,888.04
465.67,139.57,889.01
465.67,141.28,890.72
464.45,142.86,886.70
463.11,141.28,884.87
462.99,140.18,881.69
459.70,141.64,879.50
460.06,142.98,880.47
459.70,146.52,883.40
463.84,145.06,881.82
462.50,144.45,880.23
464.70,145.06,876.20
465.55,139.81,873.15
468.36,142.74,875.59
474.82,140.18,878.40
474.95,135.79,880.11
474.70,139.08,883.65
474.34,137.62,884.26
472.14,138.59,883.28
470.68,140.30,884.74
471.29,139.20,884.87
470.68,138.96,882.43
470.43,140.79,879.13
470.68,139.81,877.18
470.92,139.20,876.08
470.31,140.91,877.18
472.99,145.42,880.35
469.94,141.15,875.72
466.28,142.74,872.30
466.53,142.74,874.37
466.16,143.59,879.01
465.67,142.74,882.43
466.04,140.79,883.16
466.65,140.18,884.38
469.82,138.96,886.94
471.16,140.06,889.50
471.77,139.08,890.23
470.31,140.30,889.62
467.99,142.13,886.33
468.60,143.47,883.65
469.46,142.98,882.43
466.53,144.45,875.23
471.53,140.30,872.18
466.77,150.79,871.20
479.34,133.10,874.86
470.80,147.13,882.55
468.72,141.76,878.40
475.56,140.67,879.74
470.80,143.72,883.65
467.26,148.72,876.94
469.94,155.55,887.55
474.95,154.94,897.55
471.29,151.16,889.50
473.48,150.18,884.50
473.85,148.84,885.60
465.92,152.74,880.60
463.36,158.60,877.30
468.24,158.48,878.28
472.51,155.06,876.33
474.82,156.16,870.71
477.14,158.72,871.32
478.61,154.70,873.15
485.19,152.87,868.27
485.68,162.02,874.37
479.22,163.24,873.15
476.29,169.82,870.59
478.24,161.77,874.13
473.24,165.43,872.06
471.65,173.61,876.69
472.51,173.48,876.33
468.60,173.61,869.74
464.45,180.93,864.49
468.11,180.56,861.56
476.04,181.41,865.47
483.24,174.22,869.86
489.34,171.41,869.86
492.51,173.73,868.40
488.61,177.27,867.91
486.54,178.97,862.42
482.75,182.51,858.39
480.19,181.78,856.20
484.46,181.29,854.24
491.17,175.80,857.17
494.10,173.36,859.37
484.83,178.97,854.73
484.46,185.93,855.71
483.85,185.32,859.12
477.87,186.29,853.27
478.97,191.54,854.37
480.68,182.02,858.76
482.51,187.64,868.52
484.58,179.22,874.25
481.66,179.10,868.64
478.97,188.86,871.45
479.22,191.17,875.35
477.14,186.66,867.91
489.95,185.32,865.35
493.49,174.58,866.08
485.07,179.46,859.49
492.64,184.22,856.32
495.32,184.59,862.42
494.95,185.07,864.86
491.90,186.78,862.05
494.71,185.20,860.95
497.39,180.80,857.90
485.32,181.41,853.15
486.78,188.00,850.34
492.03,183.61,856.44
494.22,183.49,857.29
490.81,187.88,856.93
485.56,183.24,856.93
488.00,186.66,860.10
487.02,182.51,864.37
485.56,183.00,859.49
491.90,177.88,859.00
494.22,178.36,858.51
497.76,174.09,857.78
493.25,178.36,862.17
492.39,181.54,859.61
492.51,177.51,858.03
488.24,180.93,857.54
488.85,183.49,860.34
488.24,182.27,861.56
485.07,186.17,862.17
488.49,184.71,861.81
490.07,180.19,861.93
490.81,181.90,865.83
492.39,182.39,866.44
490.32,182.51,867.30
487.15,184.34,865.22
487.39,183.49,862.42
488.73,184.71,861.32
488.85,186.29,859.12
488.85,185.32,860.10
482.75,185.56,856.68
479.70,195.08,852.54
480.68,196.79,853.27
484.58,191.05,859.37
486.78,188.49,868.27
488.37,182.76,864.49
480.44,187.64,858.27
481.29,186.54,857.17
483.49,185.93,859.37
487.63,184.46,862.30
488.61,187.64,866.20
490.44,186.54,867.30
488.73,186.05,867.18
491.17,183.37,865.96
491.66,175.92,863.03
489.83,182.15,859.00
485.44,184.46,860.10
484.10,184.46,861.20
480.68,189.59,859.61
481.05,182.88,861.44
481.41,188.25,871.45
481.90,183.73,870.10
476.29,189.22,864.25
478.85,189.71,859.12
480.44,191.66,856.68
487.63,182.76,856.20
494.10,177.39,862.17
493.37,179.83,862.78
492.27,180.56,863.88
492.51,183.12,866.44
490.81,178.00,869.37
489.71,180.80,868.03
488.37,181.90,864.74
486.29,184.95,863.03
483.00,183.98,858.88
483.61,183.00,856.44
482.02,185.07,857.78
483.12,188.73,859.25
480.68,188.86,859.12
477.02,189.34,858.51
474.09,194.22,857.90
473.60,192.15,858.64
478.00,185.56,864.61
481.41,184.59,869.49
481.78,183.61,870.23
484.58,183.85,868.88
484.22,183.49,868.40
486.90,179.34,867.54
486.66,180.32,867.79
483.00,182.27,865.22
482.63,181.54,863.39
480.68,183.85,862.66
478.00,185.81,861.81
474.09,185.81,860.22
472.51,189.83,863.15
472.38,186.42,867.66
471.41,183.49,869.49
472.38,184.71,870.84
469.46,184.59,870.59
467.26,186.90,871.57
468.11,188.86,876.20
469.46,181.05,876.33
465.92,185.20,877.79
466.53,184.95,878.64
468.97,180.80,879.38
471.65,178.97,877.30
473.24,175.31,874.01
473.97,175.80,875.72
479.22,176.66,879.86
480.56,174.95,879.50
479.34,174.46,873.03
476.90,178.97,868.15
476.53,185.93,865.96
475.19,182.15,861.44
476.41,183.12,859.61
477.51,179.83,861.32
477.39,180.56,861.69
478.24,181.17,862.91
477.39,179.34,863.76
476.17,180.68,865.83
477.02,183.37,871.93
473.97,186.05,876.20
472.02,185.07,876.45
465.31,187.39,873.03
464.45,187.88,868.64
464.33,181.05,865.83
466.77,182.63,867.30
470.80,180.56,873.28
473.73,183.85,878.40
471.65,183.37,877.06
468.60,181.78,871.81
467.02,182.02,868.52
468.60,179.22,864.25
473.12,184.59,869.49
479.83,175.92,868.76
478.73,171.41,864.00
479.95,175.80,865.71
481.90,176.90,869.62
480.68,176.53,873.03
478.12,173.73,875.11
476.17,174.34,873.28
471.53,174.70,872.91
468.24,179.34,873.64
467.75,183.49,879.01
468.11,183.12,877.67
464.82,189.71,875.47
465.92,191.66,870.23
467.02,185.07,859.49
468.60,183.73,856.20
473.60,178.00,859.98
480.68,173.85,862.54
480.07,173.36,867.18
480.92,171.90,873.64
479.22,173.73,878.52
475.92,176.53,880.60
475.31,176.05,876.45
472.87,177.27,873.76
469.58,177.02,869.25
469.82,172.87,867.54
473.85,172.14,871.32
477.14,171.65,874.74
475.68,174.70,875.23
471.53,178.12,873.03
472.75,180.07,870.47
475.68,174.70,870.10
472.87,174.70,868.03
477.75,170.68,863.88
479.83,167.87,862.66
484.58,170.07,868.64
488.37,169.34,872.18
486.66,165.19,869.74
484.22,165.80,870.10
481.66,165.19,869.74
479.34,168.60,874.01
478.48,170.31,880.11
476.29,174.22,879.50
473.24,176.05,872.30
473.48,175.92,865.71
474.70,176.90,862.54
478.61,175.68,862.17
483.12,178.49,866.93
488.37,176.29,867.54
487.02,171.78,862.78
485.19,170.92,860.71
485.07,167.75,860.71
485.56,168.60,861.81
485.93,166.90,865.47
485.68,165.31,868.15
483.61,167.14,868.52
483.24,167.63,869.13
489.83,167.38,874.37
487.02,166.90,877.06
493.61,159.82,871.69
489.34,163.85,873.15
496.30,156.40,870.10
491.66,159.82,869.49
488.37,164.09,869.74
485.80,165.43,869.37
484.83,169.21,869.13
479.95,163.97,861.81
471.53,169.46,849.12
471.65,187.88,856.32
482.27,180.68,860.22
484.95,183.61,867.42
491.05,179.95,867.05
492.51,169.21,860.71
484.95,167.38,861.32
473.85,174.09,868.15
470.43,177.27,880.84
473.12,176.05,891.82
471.65,175.80,892.55
469.33,180.80,884.26
467.38,186.42,876.69
472.02,185.20,868.88
475.19,180.56,863.52
471.77,183.73,859.12
471.77,189.34,857.66
473.97,182.51,858.76
468.60,187.64,858.88
471.77,186.78,856.68
474.21,185.20,861.56
477.26,181.90,865.71
478.36,176.90,869.62
475.68,179.58,873.40
475.07,181.66,875.47
477.63,183.00,876.33
478.85,180.68,874.86
479.34,178.73,872.18
478.61,179.22,867.79
476.53,180.56,862.91
476.29,181.78,864.74
476.78,183.85,866.81
476.78,185.93,866.44
474.34,185.20,862.30
470.92,185.07,859.12
472.51,178.36,860.47
472.38,177.63,866.32
477.02,175.68,869.25
475.31,180.32,874.50
473.48,183.24,875.59
472.75,186.78,873.52
471.29,183.24,871.08
470.19,182.27,870.59
472.02,178.97,868.15
471.29,179.71,869.98
468.85,186.78,873.76
469.58,186.42,876.81
473.48,184.34,873.28
475.19,179.34,870.96
473.36,177.75,863.15
477.75,177.27,862.42
484.34,182.15,870.47
493.49,177.27,876.57
489.59,174.95,875.84
479.46,183.37,870.47
478.00,180.19,861.32
471.16,184.95,861.32
460.31,193.25,858.39
460.18,194.22,856.32
462.26,198.25,865.22
472.02,191.30,869.98
477.87,186.42,869.01
482.51,181.90,869.62
484.71,179.95,869.98
483.85,180.93,869.25
485.93,179.83,868.27
488.00,175.19,866.08
488.37,173.12,860.83
487.27,174.34,860.22
488.61,171.53,860.34
486.90,177.14,865.96
483.73,179.58,870.71
483.73,176.17,868.27
478.97,177.27,866.81
478.85,178.85,865.10
479.46,181.05,865.83
483.73,175.56,865.83
488.49,167.14,863.15
494.47,163.48,863.52
497.52,162.50,869.74
495.81,161.41,871.45
491.29,169.34,876.08
493.37,166.90,875.59
489.46,169.46,874.74
484.34,174.70,869.13
481.17,176.78,863.76
477.51,179.58,861.69
475.43,184.10,859.61
475.56,187.03,859.98
475.92,183.37,856.44
478.00,185.20,855.34
483.73,180.80,855.83
485.68,183.12,860.59
490.44,178.00,862.17
488.37,176.66,863.52
487.63,179.71,864.61
484.22,182.02,865.71
480.92,186.05,866.69
481.29,184.46,866.08
480.80,184.10,865.96
480.44,183.00,867.05
480.80,180.93,869.49
478.36,182.63,871.32
476.29,185.81,871.20
473.85,188.00,868.03
472.51,188.61,864.25
468.85,187.64,861.32
467.38,190.44,859.61
468.85,185.68,858.51
469.33,185.32,862.66
472.38,181.41,865.83
472.87,181.29,866.69
472.51,183.00,866.32
470.92,177.02,863.39
471.53,174.22,861.81
474.09,173.24,869.86
478.85,166.65,876.20
477.51,164.46,881.57
476.53,165.68,885.60
475.68,167.02,884.13
472.87,168.24,879.74
471.53,168.12,876.45
474.58,164.70,876.08
475.43,165.07,876.69
476.65,170.19,879.62
478.36,173.48,878.28
477.02,170.80,874.86
475.43,173.36,872.06
474.95,176.53,872.18
475.43,181.29,873.28
477.14,175.80,869.62
473.48,174.09,865.47
469.21,170.31,863.52
470.43,169.34,868.76
471.53,170.56,873.40
473.73,169.95,875.84
474.95,170.80,877.06
477.14,173.36,874.37
479.34,180.56,874.37
485.93,181.90,872.54
483.24,170.43,858.64
474.95,171.29,848.27
478.61,167.02,850.22
484.22,165.55,857.05
485.19,165.68,861.08
485.19,166.29,864.25
485.19,166.65,865.22
481.05,163.97,865.35
484.58,160.06,865.71
486.29,158.84,873.03
484.34,165.07,878.89
479.70,168.48,878.89
467.38,169.34,870.71
460.06,175.56,865.71
458.35,168.97,863.27
462.26,165.92,863.39
468.60,159.94,870.35
476.65,154.70,875.23
482.88,152.26,878.16
486.41,151.65,879.74
488.00,146.89,878.40
488.00,143.11,877.30
488.61,148.11,877.55
489.10,145.42,876.33
486.05,138.47,872.91
476.29,147.25,872.54
468.24,153.23,878.52
458.96,157.14,879.50
452.38,162.14,882.55
451.52,157.14,880.35
458.84,152.13,880.23
466.41,149.33,882.18
472.75,143.11,884.62
474.70,142.86,888.65
475.92,142.37,888.89
475.19,141.40,885.72
476.78,140.91,886.09
475.19,143.35,889.75
470.55,142.37,887.67
463.60,144.94,886.33
459.94,148.60,884.26
459.45,148.47,884.50
460.79,149.45,887.67
464.82,145.42,887.43
455.91,154.33,884.87
461.65,150.30,879.99
461.77,150.67,884.50
464.21,152.01,881.94
464.70,152.01,879.01
467.26,155.31,879.25
467.63,149.33,873.89
466.04,148.23,872.91
469.58,149.69,879.86
471.29,145.79,882.91
469.70,147.62,881.45
470.92,148.35,884.13
471.53,145.67,882.43
468.60,149.33,878.77
470.43,151.52,879.01
472.75,150.18,878.89
474.95,150.67,876.94
477.63,155.06,878.16
481.17,150.55,877.67
481.17,150.67,876.08
480.68,155.18,878.03
481.41,155.18,884.74
476.65,163.72,890.60
477.51,156.04,893.16
472.14,156.77,889.38
465.19,162.26,879.62
461.65,164.94,868.88
459.57,167.63,864.49
461.16,170.80,866.93
464.09,172.75,870.35
468.48,173.97,871.08
473.24,172.02,867.18
477.75,172.14,865.71
481.29,170.68,866.69
479.46,168.48,864.37
479.34,168.48,859.86
477.75,170.31,858.88
479.22,169.34,858.03
477.63,172.75,858.88
478.97,173.12,861.20
479.09,170.80,863.76
481.66,173.85,866.20
484.46,172.63,869.98
485.68,171.65,872.30
483.85,172.02,871.32
481.78,170.56,869.86
481.41,173.36,873.28
483.12,171.04,877.06
486.54,165.07,877.42
483.49,171.41,878.77
488.37,165.55,877.42
479.95,171.53,874.62
479.95,171.04,866.32
478.61,173.36,872.30
475.68,174.22,867.30
471.16,180.19,856.81
474.82,180.44,854.12
478.24,182.63,858.51
485.07,180.32,861.81
489.10,175.92,863.03
487.76,178.85,863.52
487.76,178.24,862.05
483.24,180.56,863.52
486.41,176.66,863.64
486.90,175.44,865.22
489.10,175.44,868.88
491.42,175.80,870.35
493.49,172.87,867.42
493.61,173.36,863.88
494.22,172.02,861.69
493.49,173.48,860.22
491.66,174.83,859.00
486.41,179.34,858.03
482.63,177.51,852.54
476.17,183.24,849.97
474.34,184.83,850.71
476.04,180.93,851.32
479.83,182.02,853.27
490.07,180.07,862.42
494.71,175.68,873.03
