acc_x[mg],acc_y[mg],acc_z[mg]
213.13,617.08,745.30
215.82,615.12,747.13
216.67,613.05,750.06
220.21,613.17,751.64
218.14,613.42,752.25
220.21,610.61,753.72
220.94,609.63,752.13
220.82,611.10,748.47
219.60,613.42,746.76
218.26,618.54,745.54
218.75,617.81,741.39
216.67,614.03,742.86
214.35,613.17,745.54
210.94,612.20,747.62
211.79,613.78,749.08
212.77,608.41,748.23
218.14,612.07,752.86
217.40,612.32,753.96
207.28,624.52,747.49
208.62,622.93,740.17
210.33,624.03,732.73
215.33,622.81,733.34
221.06,616.10,734.20
218.50,619.27,733.83
216.18,617.56,737.98
213.13,621.22,741.88
213.38,622.93,749.57
215.45,620.13,742.98
214.23,618.91,740.91
218.50,615.00,751.76
219.72,615.61,762.50
220.70,612.56,760.06
219.48,611.83,758.35
221.19,605.12,762.13
214.60,606.71,765.18
202.52,610.73,760.30
199.35,614.15,756.89
198.37,616.95,749.20
196.42,621.83,739.20
193.98,626.10,732.24
201.91,625.74,731.27
204.47,623.91,732.24
207.28,620.98,736.64
210.82,616.95,741.64
213.87,614.27,747.62
214.60,615.37,749.57
215.33,608.41,746.03
213.50,613.05,747.74
211.30,613.42,751.15
207.28,621.83,747.25
205.69,621.83,744.32
205.20,618.91,747.25
201.54,622.32,746.27
208.13,615.37,748.10
209.35,614.51,747.13
209.11,616.71,745.54
208.13,616.71,748.96
203.37,616.71,748.35
205.94,614.51,753.47
204.84,610.98,755.18
201.67,619.03,754.08
203.86,619.27,749.69
207.16,613.66,747.98
207.28,611.59,747.62
205.45,616.47,742.74
201.54,618.66,742.49
206.30,614.64,744.20
201.67,622.20,743.10
204.84,621.22,741.64
207.03,615.37,739.32
208.13,613.29,741.64
207.40,610.37,749.57
205.81,614.03,756.89
206.06,612.56,760.91
207.89,610.49,760.43
207.28,610.00,757.62
209.47,610.73,757.50
209.84,610.24,754.94
206.55,611.83,752.62
206.91,612.81,753.35
208.01,612.56,749.57
208.50,608.90,750.42
202.15,614.88,755.55
201.54,618.54,754.33
205.69,614.03,750.79
210.45,612.07,748.23
210.82,609.02,751.40
210.82,614.64,752.98
213.50,610.73,754.69
213.01,608.41,749.93
211.18,607.32,748.59
206.30,612.07,746.76
201.18,609.02,746.40
206.18,614.39,748.23
203.62,615.49,750.42
200.20,615.73,750.79
193.37,614.51,755.30
195.44,613.17,757.13
206.30,611.34,757.86
214.96,608.90,754.33
218.01,611.59,751.40
219.36,604.63,751.40
221.06,606.10,752.13
215.94,610.85,750.30
209.11,613.66,748.59
198.25,616.95,750.06
193.37,620.13,751.40
194.59,617.08,747.98
198.37,613.90,751.15
197.40,615.73,754.69
192.88,618.17,753.47
191.78,617.08,751.15
197.64,613.05,753.47
202.52,614.15,756.40
199.96,610.00,753.84
198.25,609.02,756.28
198.74,608.90,756.89
196.18,609.63,755.42
195.69,610.85,759.08
197.52,607.44,759.33
199.47,606.83,758.72
195.81,607.19,758.72
193.49,612.32,756.28
195.93,612.20,753.84
198.37,605.85,749.69
195.32,607.44,750.30
193.25,615.86,753.47
193.61,615.61,751.89
192.27,612.68,751.89
192.88,610.73,754.81
188.86,608.78,752.86
185.81,610.00,752.62
188.98,609.27,757.86
190.81,607.93,759.21
190.44,609.63,759.08
191.05,610.49,755.91
195.08,605.61,756.16
196.91,602.31,758.84
197.03,604.63,759.82
196.54,608.54,759.21
196.42,604.51,756.40
198.01,603.05,760.30
194.96,604.88,760.06
194.10,608.05,759.69
194.47,607.80,761.28
195.08,607.07,759.08
199.47,604.75,757.62
202.52,600.85,759.57
204.72,600.36,763.60
203.74,601.46,763.72
199.71,602.07,758.96
200.69,602.31,760.30
197.40,605.73,762.26
193.49,609.63,761.16
192.15,606.34,758.60
189.59,611.59,757.86
191.78,609.88,756.52
194.83,606.58,755.18
198.25,605.85,757.25
199.96,607.56,758.35
203.50,607.07,757.38
206.06,602.68,757.62
205.45,602.56,755.67
202.64,602.92,753.96
198.37,610.37,754.94
199.35,609.02,758.60
200.08,608.54,759.57
200.20,603.17,760.91
195.69,605.49,763.72
188.98,612.56,761.52
187.39,607.44,762.87
187.03,611.83,765.43
191.91,611.46,763.23
201.30,607.07,759.94
209.60,600.61,758.11
216.55,594.38,757.99
216.79,597.31,754.08
218.26,601.95,755.79
219.48,598.78,754.33
217.53,597.19,752.62
208.25,603.53,755.30
200.93,611.71,754.08
200.20,608.41,755.55
201.30,606.95,754.20
201.79,609.02,757.38
200.08,609.63,757.62
201.18,608.29,757.25
207.03,603.17,758.11
206.42,602.92,757.38
206.67,601.70,759.45
201.79,606.34,761.52
199.23,607.32,759.08
195.20,607.80,761.77
192.52,610.24,762.01
197.88,610.61,758.96
203.37,605.61,754.33
208.38,605.36,752.86
209.84,604.75,755.42
208.13,606.95,754.94
212.89,604.75,756.03
213.74,601.83,758.60
211.18,600.73,755.79
208.25,604.88,755.91
211.30,607.93,757.86
211.67,603.78,753.96
205.69,607.80,751.52
195.08,611.83,753.72
188.61,616.34,754.57
193.86,607.32,759.08
198.25,605.49,760.91
198.49,609.02,758.11
202.40,606.83,759.57
208.99,601.46,761.52
213.87,598.41,761.89
217.04,596.82,762.50
217.16,595.97,760.06
218.50,601.70,762.13
218.14,598.29,757.86
219.11,599.75,752.13
218.87,600.12,753.35
210.94,606.10,752.25
207.52,607.19,753.11
206.42,609.76,752.62
205.20,608.29,752.86
203.25,611.34,755.06
203.13,608.78,756.77
204.47,604.14,759.69
205.57,604.88,763.11
204.59,608.90,761.40
206.79,606.71,760.18
211.18,602.44,759.94
212.65,602.56,759.57
211.55,606.46,755.30
208.50,611.10,752.01
212.28,605.36,751.52
208.62,608.17,751.64
209.23,608.78,750.54
211.18,608.29,751.28
211.55,606.71,752.62
210.45,609.02,749.20
213.62,602.80,746.40
214.35,603.78,751.15
212.89,605.12,756.64
209.11,608.78,756.64
212.16,603.29,761.52
206.67,599.75,765.55
198.13,606.95,764.70
202.76,603.05,764.94
207.52,598.29,764.33
206.30,599.26,762.01
207.64,599.87,762.62
210.21,604.02,762.50
218.01,599.87,764.33
218.01,589.63,760.67
213.13,605.36,757.74
213.62,603.53,757.86
213.13,598.29,755.06
207.40,603.05,757.74
203.25,609.76,754.69
201.42,608.41,753.11
201.06,610.98,752.62
203.13,612.20,751.40
206.18,611.46,749.81
209.35,605.73,751.15
210.33,603.78,749.57
207.16,612.68,754.08
205.81,613.17,754.08
206.67,607.44,755.67
206.42,604.02,759.33
205.33,608.54,762.26
205.94,604.51,763.11
207.03,603.17,762.99
208.74,601.34,762.50
205.45,603.05,762.62
206.18,600.73,763.84
206.79,604.51,764.70
206.67,605.61,759.08
209.23,605.73,761.77
215.45,607.19,766.28
212.52,593.04,765.55
189.83,606.10,752.62
191.78,620.74,742.98
208.50,614.15,744.69
209.23,607.07,739.08
199.10,603.66,733.34
188.49,625.01,735.17
190.32,624.40,742.86
187.88,622.32,744.08
189.47,618.54,747.25
189.22,614.76,754.08
193.25,615.98,758.84
195.57,604.63,762.87
185.44,616.22,761.28
186.78,616.34,763.72
192.39,609.51,753.59
194.47,608.54,757.01
188.12,614.88,756.28
188.25,621.47,751.28
192.52,617.20,747.98
196.54,612.20,748.59
195.32,608.90,750.79
195.69,612.93,754.45
194.59,616.10,753.23
194.22,609.27,751.15
193.86,613.42,752.25
196.91,606.95,760.79
197.03,610.00,764.70
194.22,608.78,761.40
195.69,611.95,758.47
195.57,607.80,762.01
191.78,608.78,760.06
190.08,615.61,756.52
191.30,612.93,754.08
191.30,616.95,750.91
195.69,614.15,750.30
193.61,615.25,747.86
193.13,618.54,745.05
193.49,613.29,745.30
192.03,615.12,748.10
191.78,615.98,752.98
195.57,619.88,754.69
194.83,612.20,756.40
191.30,613.17,757.86
189.59,612.81,759.08
191.17,610.61,758.23
195.93,608.54,756.64
198.25,614.51,754.94
199.71,613.54,752.13
202.03,611.46,748.35
206.30,606.95,747.37
203.62,609.76,749.69
203.98,612.93,750.91
201.67,611.22,747.01
201.18,611.46,749.93
195.93,615.61,751.28
192.15,616.71,749.08
193.25,616.47,752.13
193.74,613.90,752.86
197.76,613.17,755.30
199.59,612.68,757.62
201.67,608.78,755.91
203.25,605.85,758.11
200.08,610.49,757.74
199.59,612.20,757.25
198.25,613.29,754.08
195.44,614.88,752.62
193.61,614.64,751.03
192.64,617.69,747.86
195.08,616.83,748.84
194.59,616.47,747.62
197.64,614.76,749.08
195.08,616.22,751.28
201.30,613.29,753.59
201.42,607.80,750.91
202.52,610.73,750.91
199.10,609.51,751.03
196.54,614.15,753.35
198.13,611.59,755.55
199.47,615.25,752.25
200.20,612.32,755.18
194.71,613.54,754.69
194.47,611.95,756.89
197.76,608.17,759.21
200.57,608.17,756.64
202.03,613.17,753.35
203.98,607.93,748.84
210.69,604.14,745.05
213.99,607.44,749.69
205.69,610.98,750.30
202.28,615.49,757.86
204.72,612.07,759.33
206.42,609.88,754.20
202.89,612.93,753.59
196.91,616.95,752.98
193.74,618.42,753.47
196.30,617.81,752.98
197.76,612.44,755.30
198.98,615.49,755.42
201.91,612.93,755.55
204.59,610.37,756.64
206.06,608.17,756.03
205.45,610.49,753.84
205.45,612.56,752.37
204.59,610.85,752.13
202.64,614.15,750.54
204.23,611.46,749.45
203.01,614.51,748.71
206.55,612.07,746.15
209.47,608.41,744.69
208.01,609.63,747.01
200.20,616.59,753.96
196.30,617.32,758.11
198.25,611.46,760.06
202.15,606.10,760.06
200.57,611.34,752.98
201.30,614.88,753.84
205.33,611.34,753.96
207.16,614.76,751.64
205.69,610.85,752.01
198.25,613.66,749.69
199.35,616.34,749.32
205.20,609.63,750.42
201.91,613.66,747.13
205.08,613.54,750.18
205.45,616.10,751.28
207.28,614.76,752.37
209.11,609.63,749.45
211.06,608.29,750.06
210.57,611.59,756.03
210.94,609.88,753.23
212.16,604.51,755.55
203.25,608.78,755.79
197.27,618.30,754.69
196.79,620.00,750.67
197.52,615.98,748.71
197.52,615.00,751.28
198.13,618.54,751.52
203.98,614.64,751.76
209.47,607.56,750.91
209.23,608.17,749.32
205.57,617.08,749.45
207.52,614.88,747.49
208.86,611.95,746.52
204.23,615.73,747.13
204.35,615.73,743.96
205.33,613.29,745.05
204.84,611.59,752.01
202.52,613.66,754.81
205.08,611.46,756.89
208.50,606.34,760.55
210.94,603.29,759.94
207.03,610.12,756.03
205.45,606.95,754.81
200.45,612.81,755.18
198.86,615.00,756.28
201.54,617.20,751.03
203.98,611.71,749.57
200.81,616.22,751.52
197.03,618.30,747.25
199.10,614.76,747.13
201.30,611.46,749.20
197.64,618.42,748.35
199.84,617.44,750.18
198.74,616.71,748.47
197.88,613.29,747.62
196.42,616.83,747.01
193.37,622.69,751.28
202.76,616.59,750.67
215.57,606.10,747.25
224.11,601.70,748.10
222.89,604.51,748.59
216.79,608.54,752.98
215.33,610.85,758.35
