acc_x[mg],acc_y[mg],acc_z[mg]
97.48,816.06,555.34
96.62,812.28,556.69
100.16,811.91,553.39
109.07,807.40,554.37
114.68,809.59,551.81
119.56,805.32,544.49
124.07,801.91,538.63
127.12,800.81,539.12
122.24,807.88,543.88
117.73,805.93,547.17
117.73,813.37,550.34
117.36,807.40,549.00
110.78,810.08,541.92
108.34,811.79,540.09
107.73,816.06,539.48
112.36,813.86,539.61
116.63,809.71,540.34
121.02,803.49,540.70
123.95,803.49,544.61
122.73,804.10,548.27
123.46,808.13,552.29
119.44,808.37,549.85
116.75,807.88,539.24
116.63,810.93,539.36
113.22,809.35,535.82
113.83,810.69,533.14
112.85,811.67,537.53
107.36,818.50,534.60
111.87,817.89,534.60
117.00,812.64,529.72
117.61,812.40,526.55
118.95,814.84,532.90
113.09,818.50,534.73
107.85,816.30,532.41
104.31,814.23,533.02
102.97,815.81,535.09
108.21,814.23,540.22
112.00,817.28,542.90
113.95,815.57,541.31
112.85,812.03,539.24
111.14,813.86,539.97
109.43,811.18,540.09
112.97,808.49,538.02
110.90,811.79,536.56
111.26,813.98,539.73
110.41,813.37,542.66
111.63,811.06,542.17
111.51,809.10,542.66
106.02,809.96,540.09
106.14,818.99,538.87
108.21,813.25,533.75
103.82,817.77,529.11
101.02,822.65,529.97
100.89,820.69,530.58
103.70,817.64,530.70
107.12,815.45,532.41
111.51,812.64,536.56
113.95,811.54,538.39
117.73,808.86,542.41
117.00,806.54,544.49
114.44,806.30,545.83
111.87,807.76,548.63
107.24,811.54,550.10
106.51,812.15,548.63
104.55,811.18,543.27
101.14,814.11,540.22
100.41,819.72,539.24
102.11,817.52,537.53
103.82,815.08,535.21
102.85,812.28,533.02
104.55,813.98,535.58
110.17,815.69,542.90
112.00,810.20,545.83
112.97,806.30,541.31
114.07,804.47,541.07
115.17,811.79,543.75
116.51,811.18,544.73
112.61,811.18,538.51
107.60,816.06,538.87
106.87,814.47,541.07
109.92,809.84,543.14
110.78,810.32,543.27
112.48,809.96,543.02
112.24,810.93,539.61
116.14,813.37,538.02
117.61,811.42,532.29
114.44,809.71,524.11
111.51,810.08,527.89
111.14,812.28,535.21
107.85,808.25,539.48
97.60,819.47,539.00
89.67,823.13,543.51
89.30,824.23,543.39
94.67,820.82,539.97
100.77,817.16,534.60
109.56,813.50,534.48
116.39,810.57,537.17
122.12,807.15,545.34
121.27,806.05,547.29
119.19,806.54,543.39
118.34,805.57,546.32
110.65,809.47,543.14
108.21,812.89,541.92
105.04,815.81,535.58
104.55,817.03,533.02
102.60,815.20,536.92
99.43,818.13,534.36
106.02,814.11,539.61
101.63,815.45,535.95
105.53,814.11,538.87
107.48,812.52,541.44
107.48,814.11,537.41
111.39,808.25,539.97
105.53,810.08,534.73
112.12,814.72,539.48
111.75,814.35,541.44
112.24,812.76,532.90
111.63,812.52,537.41
104.19,818.62,535.09
106.87,810.32,539.48
107.12,810.20,538.87
105.77,814.59,540.09
107.97,812.03,543.14
108.34,811.30,542.41
107.60,809.84,542.17
107.12,814.47,539.00
105.53,811.30,540.83
107.36,818.13,541.19
109.56,811.42,540.95
103.46,813.37,533.02
103.94,817.89,534.73
104.19,815.94,537.90
105.65,818.25,536.07
108.21,815.57,536.80
109.31,815.33,535.70
113.70,809.96,539.85
114.56,809.59,543.02
115.05,809.84,545.10
114.92,807.52,543.14
113.95,807.88,542.66
114.07,809.23,543.75
110.90,811.18,542.90
108.21,812.28,539.00
104.80,814.96,538.63
102.72,816.79,536.92
104.19,815.33,538.63
103.21,813.13,540.22
104.19,813.98,539.73
106.14,815.45,542.66
109.31,810.81,545.10
110.29,809.35,542.90
110.53,808.25,540.95
109.19,810.45,540.22
108.09,812.52,538.51
110.90,816.30,537.65
110.41,818.86,532.29
107.97,814.23,528.14
109.68,811.67,533.14
106.87,808.49,536.07
110.41,807.88,543.51
106.26,810.32,546.32
104.68,813.86,545.83
109.68,809.96,547.17
107.73,814.59,544.61
110.17,807.76,543.02
111.26,811.06,539.48
112.00,814.84,541.19
114.44,809.59,539.36
111.02,813.01,535.95
106.75,817.89,536.31
109.43,817.89,537.90
111.14,817.03,536.31
115.29,811.54,534.60
115.90,808.37,535.21
115.78,811.06,534.97
115.53,811.67,539.12
113.95,809.84,537.53
113.22,812.52,536.92
110.41,812.64,536.68
107.73,815.08,537.29
102.72,815.94,535.46
102.48,817.64,533.38
102.48,821.06,532.90
105.65,817.89,532.65
109.19,813.25,533.99
111.87,814.23,537.04
113.34,811.91,542.29
114.31,805.93,543.14
108.70,808.25,545.34
107.36,812.15,544.85
105.41,813.01,543.39
104.07,814.11,539.61
104.19,821.55,538.63
106.51,820.33,532.65
108.46,816.55,529.24
107.85,813.50,529.24
107.97,813.25,532.41
107.24,810.81,535.70
108.46,814.35,538.02
107.97,811.91,544.97
105.41,814.47,539.61
109.19,811.67,545.34
105.77,814.35,541.07
109.56,811.42,539.73
114.80,816.79,537.17
116.14,806.79,532.29
111.87,807.88,530.82
105.29,813.37,536.80
101.63,816.06,544.85
99.06,816.18,547.17
95.53,817.16,544.36
96.62,816.91,545.58
96.62,815.69,545.34
102.60,818.13,547.41
104.80,809.96,546.44
103.46,812.15,541.19
106.87,810.20,541.31
111.75,811.67,537.29
115.29,807.64,537.29
111.39,810.57,531.19
109.56,813.74,532.29
110.17,817.28,534.97
109.56,814.35,535.09
109.68,810.93,535.95
107.48,813.86,540.46
109.68,812.40,545.71
111.87,811.79,546.32
112.24,809.35,542.66
108.70,806.54,534.73
106.75,814.96,535.09
108.95,819.11,541.07
105.53,818.25,535.58
102.24,817.03,529.97
